features,model,fractal,regime_mode,used_lime,used_online_adapt,used_rfe,rfe_features_selected,mse,rmse,mae,r2,explained_variance,mape
SKEW+PUTCALLRATIO,GARCH,wavelet,feature,False,False,False,,66.35858810930222,8.146078081463633,7.332374104463167,-4.335250214120618,-0.01263194414518276,41.34189807175817
SKEW+PUTCALLRATIO,ANN,wavelet,feature,False,False,False,,0.004364994267705984,0.06606810325494432,0.0518106739893161,-0.9204382355321239,-0.29390274402287986,55.074224206179714
SKEW+PUTCALLRATIO,RNN,wavelet,feature,False,False,False,,0.0029534057442280057,0.05434524582912479,0.03951983909802053,-0.299390782301415,-0.2979454999714781,38.20139929006163
SKEW+PUTCALLRATIO,LSTM,wavelet,feature,False,False,False,,0.007256731386673418,0.08518645072236206,0.07322455327877213,-2.1926970724930137,-0.16618139884270566,85.48378770453583
SKEW+PUTCALLRATIO,GRU,wavelet,feature,False,False,False,,0.008072851466641022,0.08984904822334526,0.08249661977667393,-2.55176013425942,0.2509819318991897,100.38659572761621
SKEW+PUTCALLRATIO,CNN,wavelet,feature,False,False,False,,0.04236617085232536,0.2058304419961376,0.1963738200093245,-17.639569586571685,-0.7258371438590976,225.23243144746198
SKEW+PUTCALLRATIO,CNN_LSTM,wavelet,feature,False,False,False,,0.0073319489867264935,0.08562680063348445,0.07821781791872447,-2.2257900724530812,0.31541320168151055,97.2159978576262
DIX+GEX+SKEW,ARIMA,none,feature,False,False,False,,11.513700160040147,3.3931843687073866,2.7544182343067853,0.3794056249896901,0.46991275916712183,17.696373638475936
DIX+GEX+SKEW,GARCH,none,feature,False,False,False,,83.67996314673759,9.147675286472383,8.049273817180802,-3.5103931584192214,-0.018135148491324138,43.46097916660083
DIX+GEX+SKEW,ANN,none,feature,False,False,False,,0.005083539909062498,0.07129894746111262,0.05937542872438223,-0.5171338553115894,0.027034436860044475,68.05563179980815
DIX+GEX+SKEW,RNN,none,feature,False,False,False,,0.006582281344734594,0.08113125997255678,0.06876553856485193,-0.964418899413026,-0.11125389083159543,88.04288542511188
DIX+GEX+SKEW,LSTM,none,feature,False,False,False,,0.004818393044519288,0.06941464574943308,0.05840509457508205,-0.4380033100568743,-0.20268867892381448,69.0111957605389
DIX+GEX+SKEW,GRU,none,feature,False,False,False,,0.0026264831574138144,0.05124922592014258,0.04017420847684148,0.21615122733382142,0.2190667841386278,45.95421493390875
DIX+GEX+SKEW,CNN,none,feature,False,False,False,,0.0038444611859614853,0.06200371913007707,0.05275605924159018,-0.14734266377170013,0.1358663616196053,63.64762885809303
DIX+GEX+SKEW,CNN_LSTM,none,feature,False,False,False,,0.005741936774159686,0.07577556845157736,0.06386385998071137,-0.71362610129342,0.06408043048442558,76.59422856710347
